(1.0, (45, 25), None)
(10.414213562373096, (35, 24), (36, 25))
(10.414213562373096, (46, 15), (45, 16))
(10.485281374238571, (44, 15), (45, 16))
(10.485281374238571, (37, 19), (38, 20))
(10.65685424949238, (39, 17), (40, 18))
(10.65685424949238, (36, 29), (37, 28))
(10.65685424949238, (36, 21), (37, 22))
(10.65685424949238, (49, 16), (48, 17))
(10.82842712474619, (41, 16), (42, 17))
(10.82842712474619, (35, 27), (36, 27))
(10.82842712474619, (35, 23), (36, 23))
(10.82842712474619, (47, 15), (47, 16))
(10.82842712474619, (43, 15), (43, 16))
(10.82842712474619, (35, 27), (36, 27))
(10.82842712474619, (35, 23), (36, 23))
(10.82842712474619, (47, 15), (47, 16))
(10.899494936611667, (43, 15), (43, 16))
(10.899494936611667, (37, 18), (38, 19))
(11.0, (38, 17), (39, 18))
(11.0, (34, 25), (35, 25))
(11.071067811865476, (45, 14), (45, 15))
(11.071067811865476, (36, 20), (37, 21))
(11.242640687119284, (40, 16), (41, 17))
(11.242640687119284, (35, 28), (36, 28))
(11.242640687119284, (35, 22), (36, 22))
(11.242640687119284, (48, 15), (48, 16))
(11.242640687119284, (42, 15), (42, 16))
(11.242640687119284, (35, 28), (36, 28))
(11.242640687119284, (35, 22), (36, 22))
(11.242640687119284, (48, 15), (48, 16))
(11.313708498984763, (42, 15), (42, 16))
(11.414213562373096, (37, 17), (38, 18))
(11.414213562373096, (34, 26), (35, 25))
(11.414213562373096, (34, 24), (35, 25))
(11.414213562373096, (46, 14), (45, 15))
(11.485281374238571, (44, 14), (45, 15))
(11.485281374238571, (36, 19), (37, 20))
(11.65685424949238, (39, 16), (40, 17))
(11.65685424949238, (35, 29), (36, 28))
(11.65685424949238, (35, 21), (36, 22))
(11.65685424949238, (49, 15), (48, 16))
(11.82842712474619, (41, 15), (42, 16))
(11.82842712474619, (34, 27), (35, 27))
(11.82842712474619, (34, 23), (35, 23))
(11.82842712474619, (47, 14), (47, 15))
(11.82842712474619, (43, 14), (43, 15))
(11.82842712474619, (34, 27), (35, 27))
(11.82842712474619, (34, 23), (35, 23))
(11.82842712474619, (47, 14), (47, 15))
(11.899494936611667, (43, 14), (43, 15))
(11.899494936611667, (36, 18), (37, 19))
(12.0, (38, 16), (39, 17))
(12.0, (33, 25), (34, 25))
(12.071067811865476, (45, 13), (45, 14))
(12.242640687119284, (35, 20), (36, 21))
(12.242640687119284, (34, 28), (35, 28))
(12.242640687119284, (34, 22), (35, 22))
(12.242640687119284, (48, 14), (48, 15))
(12.242640687119284, (42, 14), (42, 15))
(12.242640687119284, (34, 28), (35, 28))
(12.242640687119284, (34, 22), (35, 22))
(12.242640687119284, (48, 14), (48, 15))
(12.313708498984763, (42, 14), (42, 15))
(12.313708498984763, (36, 17), (37, 18))
(12.414213562373096, (37, 16), (38, 17))
(12.414213562373096, (33, 26), (34, 25))
(12.414213562373096, (33, 24), (34, 25))
(12.414213562373096, (46, 13), (45, 14))
(12.485281374238571, (44, 13), (45, 14))
(12.485281374238571, (35, 19), (36, 20))
(12.65685424949238, (39, 15), (39, 16))
(12.65685424949238, (34, 29), (35, 28))
(12.65685424949238, (34, 21), (35, 22))
(12.65685424949238, (49, 14), (48, 15))
(12.727922061357859, (41, 14), (42, 15))
(12.82842712474619, (36, 16), (37, 17))
(12.82842712474619, (33, 27), (34, 27))
(12.82842712474619, (33, 23), (34, 23))
(12.82842712474619, (47, 13), (47, 14))
(12.82842712474619, (43, 13), (43, 14))
(12.82842712474619, (33, 27), (34, 27))
(12.82842712474619, (33, 23), (34, 23))
(12.82842712474619, (47, 13), (47, 14))
(12.899494936611667, (43, 13), (43, 14))
(12.899494936611667, (35, 18), (36, 19))
(13.0, (38, 15), (39, 16))
(13.0, (32, 25), (33, 25))
(13.071067811865476, (45, 12), (45, 13))
(13.242640687119284, (34, 20), (35, 21))
(13.242640687119284, (33, 28), (34, 28))
(13.242640687119284, (33, 22), (34, 22))
(13.242640687119284, (48, 13), (48, 14))
(13.242640687119284, (42, 13), (42, 14))
(13.242640687119284, (33, 28), (34, 28))
(13.242640687119284, (33, 22), (34, 22))
(13.242640687119284, (48, 13), (48, 14))
(13.313708498984763, (42, 13), (42, 14))
(13.313708498984763, (35, 17), (36, 18))
(13.414213562373096, (37, 15), (38, 16))
(13.414213562373096, (32, 26), (33, 25))
(13.414213562373096, (32, 24), (33, 25))
(13.414213562373096, (46, 12), (45, 13))
(13.485281374238571, (44, 12), (45, 13))
(13.485281374238571, (34, 19), (35, 20))
(13.65685424949238, (39, 14), (39, 15))
(13.65685424949238, (33, 29), (34, 28))
(13.65685424949238, (33, 21), (34, 22))
(13.65685424949238, (49, 13), (48, 14))
(13.727922061357859, (41, 13), (42, 14))
(13.727922061357859, (35, 16), (36, 17))
(13.82842712474619, (36, 15), (37, 16))
(13.82842712474619, (32, 27), (33, 27))
